occurrenceID,eventDate,date_year,month,decimalLatitude,decimalLongitude,sst,sss,datasetName,basisOfRecord,coordinateUncertaintyInMeters,season
924_70,2011-02-26 09:25:42+00:00,2011,2,22.004817,-160.052767,25.5,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_89,2011-02-26 09:56:57+00:00,2011,2,22.005633,-160.05785,25.5,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_24,2011-02-24 09:50:00+00:00,2011,2,21.9664,-160.058333,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_79,2011-02-26 09:43:27+00:00,2011,2,21.798917,-160.248183,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_26,2011-02-24 09:58:00+00:00,2011,2,21.90005,-160.223267,25.58,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_76,2011-02-26 09:39:45+00:00,2011,2,21.868967,-160.241433,25.58,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_98,2011-02-26 12:09:07+00:00,2011,2,21.967217,-159.190017,25.35,35.15,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_96,2011-02-26 10:34:03+00:00,2011,2,21.948433,-159.335917,,,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_83,2011-02-26 09:49:24+00:00,2011,2,21.868083,-160.1167,25.57,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_25,2011-02-24 09:53:00+00:00,2011,2,22.004067,-160.100867,25.51,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_42,2011-02-26 08:35:30+00:00,2011,2,21.9374,-159.185717,25.35,35.15,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_17,2011-02-24 09:33:00+00:00,2011,2,21.787233,-160.243583,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_30,2011-02-24 10:16:00+00:00,2011,2,21.98065,-160.03325,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_22,2011-02-24 09:45:30+00:00,2011,2,21.867133,-160.111533,25.57,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_23,2011-02-24 09:47:00+00:00,2011,2,21.889833,-160.0699,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_80,2011-02-26 09:43:57+00:00,2011,2,21.785933,-160.2386,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_36,2011-02-24 10:58:00+00:00,2011,2,22.225233,-159.370433,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_21,2011-02-24 09:45:00+00:00,2011,2,21.863833,-160.127817,25.57,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_88,2011-02-26 09:55:21+00:00,2011,2,21.965483,-160.055883,25.55,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_9,2011-02-24 09:15:00+00:00,2011,2,21.995967,-159.969383,25.51,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_14,2011-02-24 09:30:30+00:00,2011,2,21.868233,-160.2552,25.59,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_15,2011-02-24 09:32:00+00:00,2011,2,21.81855,-160.256017,25.61,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_13,2011-02-24 09:30:00+00:00,2011,2,21.883917,-160.249883,25.58,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_97,2011-02-26 12:07:49+00:00,2011,2,21.975217,-159.23445,25.35,35.15,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_46,2011-02-26 08:54:09+00:00,2011,2,22.107433,-159.284467,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_2,2011-02-24 08:47:00+00:00,2011,2,22.052,-159.310833,25.29,35.16,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_16,2011-02-24 09:32:30+00:00,2011,2,21.802567,-160.2506,25.61,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_4,2011-02-24 08:53:00+00:00,2011,2,22.2231,-159.340833,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_81,2011-02-26 09:44:24+00:00,2011,2,21.779933,-160.2265,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_62,2011-02-26 09:10:03+00:00,2011,2,22.201217,-159.626867,25.32,35.14,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_18,2011-02-24 09:35:00+00:00,2011,2,21.773383,-160.195917,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_3,2011-02-24 08:51:00+00:00,2011,2,22.178717,-159.298433,25.25,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_48,2011-02-26 08:55:06+00:00,2011,2,22.139067,-159.28565,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_27,2011-02-24 09:59:00+00:00,2011,2,21.876467,-160.246167,25.58,35.1,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_84,2011-02-26 09:50:21+00:00,2011,2,21.842217,-160.10465,25.57,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_69,2011-02-26 09:18:27+00:00,2011,2,22.055767,-159.826517,25.44,35.12,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_8,2011-02-24 09:08:00+00:00,2011,2,22.056367,-159.7978,25.44,35.12,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_72,2011-02-26 09:26:12+00:00,2011,2,22.0098,-160.06875,25.5,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_90,2011-02-26 09:57:27+00:00,2011,2,22.012267,-160.073917,25.5,35.11,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_78,2011-02-26 09:41:57+00:00,2011,2,21.8074,-160.248683,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_6,2011-02-24 09:02:00+00:00,2011,2,22.200067,-159.639883,25.32,35.14,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_45,2011-02-26 08:45:33+00:00,2011,2,22.089533,-159.288433,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_43,2011-02-26 08:39:30+00:00,2011,2,21.948717,-159.256617,25.37,35.15,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_82,2011-02-26 09:46:06+00:00,2011,2,21.797467,-160.189417,25.59,35.09,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_93,2011-02-26 10:12:48+00:00,2011,2,21.995583,-159.78905,25.49,35.12,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_92,2011-02-26 10:11:51+00:00,2011,2,22.017233,-159.802017,25.44,35.12,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_67,2011-02-26 09:17:42+00:00,2011,2,22.064833,-159.802733,25.44,35.12,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_95,2011-02-26 10:23:39+00:00,2011,2,21.908167,-159.6399,25.49,35.13,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
924_58,2011-02-26 08:59:54+00:00,2011,2,22.2375,-159.4016,25.26,35.17,HRC SCC Aerial Shoreline Surveys February 2011,HumanObservation,,Winter
928_117,2012-01-18 08:30:42+00:00,2012,1,22.093002,-159.873258,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_121,2012-01-18 14:05:54+00:00,2012,1,22.100663,-159.943305,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_150,2012-01-19 10:14:02+00:00,2012,1,22.081675,-159.909837,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_148,2012-01-19 10:10:16+00:00,2012,1,22.085018,-159.906885,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_138,2012-01-19 07:41:33+00:00,2012,1,22.00566,-159.830553,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_137,2012-01-19 07:38:06+00:00,2012,1,22.009242,-159.836345,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_135,2012-01-19 07:33:14+00:00,2012,1,22.009788,-159.841475,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_134,2012-01-19 07:32:42+00:00,2012,1,22.008983,-159.841257,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_133,2012-01-19 07:30:52+00:00,2012,1,22.006155,-159.840613,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_115,2012-01-18 08:20:40+00:00,2012,1,22.07666,-159.871783,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_114,2012-01-18 08:08:55+00:00,2012,1,22.058515,-159.866042,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_113,2012-01-18 08:03:57+00:00,2012,1,22.050925,-159.863063,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_112,2012-01-18 07:45:08+00:00,2012,1,22.021508,-159.85224,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_111,2012-01-18 07:33:45+00:00,2012,1,22.003772,-159.846332,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_103,2012-01-17 08:14:17+00:00,2012,1,22.042148,-159.881163,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_102,2012-01-17 07:51:12+00:00,2012,1,22.049658,-159.853858,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_54,2012-01-13 14:46:27+00:00,2012,1,22.037685,-159.822585,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_53,2012-01-13 14:44:59+00:00,2012,1,22.034905,-159.822777,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_52,2012-01-13 14:42:45+00:00,2012,1,22.030405,-159.822912,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_44,2012-01-13 13:33:41+00:00,2012,1,22.053765,-159.878703,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_43,2012-01-13 13:29:53+00:00,2012,1,22.059483,-159.87217,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_41,2012-01-13 12:53:41+00:00,2012,1,22.127717,-159.830902,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_28,2012-01-13 07:43:37+00:00,2012,1,21.942752,-159.740048,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_145,2012-01-19 09:23:15+00:00,2012,1,22.129682,-159.905323,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_130,2012-01-18 15:42:16+00:00,2012,1,22.13868,-159.932827,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_128,2012-01-18 14:57:29+00:00,2012,1,22.092023,-159.942808,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_119,2012-01-18 12:39:49+00:00,2012,1,22.167302,-159.926958,25.42,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_108,2012-01-17 12:52:43+00:00,2012,1,22.180583,-159.813173,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_87,2012-01-15 08:50:45+00:00,2012,1,22.254653,-159.890417,25.35,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_86,2012-01-15 08:36:51+00:00,2012,1,22.247752,-159.89062,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_83,2012-01-14 12:38:45+00:00,2012,1,22.242985,-159.885697,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_82,2012-01-14 11:54:50+00:00,2012,1,22.264025,-159.84347,25.35,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_81,2012-01-14 11:03:56+00:00,2012,1,22.233905,-159.904563,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_80,2012-01-14 09:59:52+00:00,2012,1,22.223665,-159.89675,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_79,2012-01-14 09:51:36+00:00,2012,1,22.22245,-159.890772,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_78,2012-01-14 07:55:39+00:00,2012,1,22.173203,-159.83904,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_160,2012-01-19 15:45:27+00:00,2012,1,22.099162,-159.940938,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_159,2012-01-19 15:09:25+00:00,2012,1,22.101467,-159.963343,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_157,2012-01-19 14:13:21+00:00,2012,1,22.135513,-159.946532,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_156,2012-01-19 14:10:31+00:00,2012,1,22.140942,-159.947495,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_76,2012-01-13 17:32:35+00:00,2012,1,21.884625,-159.722152,25.49,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_75,2012-01-13 16:54:03+00:00,2012,1,21.939473,-159.821993,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_74,2012-01-13 16:53:23+00:00,2012,1,21.940395,-159.82358,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_67,2012-01-13 16:13:07+00:00,2012,1,22.056495,-159.828567,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_66,2012-01-13 16:04:59+00:00,2012,1,22.080425,-159.829093,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_64,2012-01-13 15:54:23+00:00,2012,1,22.11142,-159.8312,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_63,2012-01-13 15:52:09+00:00,2012,1,22.11797,-159.831065,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_61,2012-01-13 15:30:33+00:00,2012,1,22.12163,-159.8248,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_60,2012-01-13 15:17:51+00:00,2012,1,22.098118,-159.823562,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_59,2012-01-13 15:14:51+00:00,2012,1,22.092412,-159.823247,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_58,2012-01-13 15:10:39+00:00,2012,1,22.084778,-159.822808,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_51,2012-01-13 14:20:10+00:00,2012,1,21.993152,-159.833053,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_50,2012-01-13 14:20:10+00:00,2012,1,21.993152,-159.833053,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_49,2012-01-13 14:20:10+00:00,2012,1,21.993152,-159.833053,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_48,2012-01-13 14:09:02+00:00,2012,1,21.994433,-159.859775,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_39,2012-01-13 12:21:05+00:00,2012,1,22.067938,-159.84441,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_38,2012-01-13 12:04:27+00:00,2012,1,22.02808,-159.83766,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_37,2012-01-13 11:10:05+00:00,2012,1,21.922405,-159.752012,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_33,2012-01-13 09:53:41+00:00,2012,1,21.87799,-159.713537,25.49,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_14,2012-01-11 09:52:32+00:00,2012,1,21.97454,-159.830443,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_13,2012-01-11 09:22:58+00:00,2012,1,21.950992,-159.86032,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_12,2012-01-11 08:50:22+00:00,2012,1,21.936542,-159.871392,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_10,2012-01-11 08:41:32+00:00,2012,1,21.923317,-159.874293,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_9,2012-01-11 08:29:14+00:00,2012,1,21.904032,-159.873865,25.53,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_8,2012-01-11 08:13:38+00:00,2012,1,21.89479,-159.8798,25.53,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_7,2012-01-11 08:10:44+00:00,2012,1,21.898392,-159.882085,25.53,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_6,2012-01-11 07:50:26+00:00,2012,1,21.92285,-159.897577,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_5,2012-01-11 07:48:58+00:00,2012,1,21.924583,-159.898658,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_4,2012-01-11 07:47:42+00:00,2012,1,21.926128,-159.899628,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_1,2012-01-11 07:23:02+00:00,2012,1,21.955458,-159.919777,25.51,35.11,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_21,2012-01-12 10:13:58+00:00,2012,1,22.115863,-159.942235,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_153,2012-01-19 11:17:04+00:00,2012,1,22.079727,-159.929105,25.46,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_22,2012-01-12 10:53:58+00:00,2012,1,22.217343,-159.896833,25.41,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_73,2012-01-13 16:49:57+00:00,2012,1,21.949087,-159.825408,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_45,2012-01-13 13:37:15+00:00,2012,1,22.046992,-159.881897,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_132,2012-01-19 07:20:28+00:00,2012,1,21.989805,-159.837242,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_140,2012-01-19 08:03:31+00:00,2012,1,22.001575,-159.820975,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_141,2012-01-19 08:22:48+00:00,2012,1,22.032778,-159.843955,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_149,2012-01-19 10:13:18+00:00,2012,1,22.081843,-159.908968,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_151,2012-01-19 10:27:46+00:00,2012,1,22.099162,-159.917863,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_129,2012-01-18 15:05:52+00:00,2012,1,22.112598,-159.937837,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_142,2012-01-19 08:28:53+00:00,2012,1,22.043087,-159.850787,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_88,2012-01-15 09:08:17+00:00,2012,1,22.27349,-159.887793,25.35,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_155,2012-01-19 11:54:45+00:00,2012,1,22.087773,-159.930882,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_158,2012-01-19 15:00:13+00:00,2012,1,22.094142,-159.951093,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_20,2012-01-12 08:19:28+00:00,2012,1,21.86559,-159.616988,25.49,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_31,2012-01-13 08:24:51+00:00,2012,1,21.946398,-159.793373,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_29,2012-01-13 08:12:07+00:00,2012,1,21.94175,-159.77955,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_42,2012-01-13 12:57:51+00:00,2012,1,22.116115,-159.830752,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_47,2012-01-13 14:03:52+00:00,2012,1,21.994712,-159.872215,25.5,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_46,2012-01-13 13:41:49+00:00,2012,1,22.036538,-159.881925,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_55,2012-01-13 14:55:39+00:00,2012,1,22.055983,-159.822153,25.44,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_77,2012-01-14 07:36:41+00:00,2012,1,22.146258,-159.829155,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_98,2012-01-16 17:40:03+00:00,2012,1,22.123938,-159.850497,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_101,2012-01-17 07:29:19+00:00,2012,1,22.005995,-159.838627,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_104,2012-01-17 12:15:48+00:00,2012,1,22.13073,-159.85757,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_107,2012-01-17 12:46:02+00:00,2012,1,22.168983,-159.811915,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_106,2012-01-17 12:35:46+00:00,2012,1,22.153738,-159.828297,25.4,35.13,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_110,2012-01-17 17:37:42+00:00,2012,1,22.09302,-159.9374,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_125,2012-01-18 14:42:45+00:00,2012,1,22.070947,-159.923947,25.46,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_127,2012-01-18 14:51:09+00:00,2012,1,22.081575,-159.935835,25.46,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_136,2012-01-19 07:36:14+00:00,2012,1,22.011053,-159.839275,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_143,2012-01-19 08:49:50+00:00,2012,1,22.08112,-159.869685,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_139,2012-01-19 07:50:59+00:00,2012,1,21.995717,-159.814613,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_147,2012-01-19 09:49:32+00:00,2012,1,22.107238,-159.891802,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_144,2012-01-19 08:52:20+00:00,2012,1,22.085727,-159.872013,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_40,2012-01-13 12:28:55+00:00,2012,1,22.087528,-159.844828,25.45,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
928_71,2012-01-13 16:41:23+00:00,2012,1,21.973773,-159.826188,25.49,35.12,"HRC Vessel Survey off Kaua'i, January 2012",HumanObservation,,Winter
